client,context_id,context_name,field_id,field_name,field_type,value,sync_date
"Block Real Estate Services, LLC",69fdeef6fa0b60fcd50d3ccf,"106643 - 10661 Metcalf, LLC",69bd73faa9080d01db40736f,Location,custom-fields,"10661 Metcalf, LLC",2026-09-26
"Block Real Estate Services, LLC",69fdeef6fa0b60fcd50d3ccf,"106643 - 10661 Metcalf, LLC",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,1c8b914e-090f-4b1b-9400-15d195782e7c,2026-09-26
"Block Real Estate Services, LLC",69fdeef6fa0b60fcd50d3ccf,"106643 - 10661 Metcalf, LLC",6a3427544277045ad4f2e8d6,PM Email,custom-fields,8a48e050-107a-440e-bae0-d4847ba0b33d,2026-09-26
"Block Real Estate Services, LLC",69fdef1a3b208288e0a799c2,"3rd237 - Interstate Business Park Building 4 {2025 Wilshire Werbo, LLC}",69bd73faa9080d01db40736f,Location,custom-fields,"Interstate Business Park Building 4 {2025 Wilshire Werbo, LLC}",2026-09-26
"Block Real Estate Services, LLC",69fdef1a3b208288e0a799c2,"3rd237 - Interstate Business Park Building 4 {2025 Wilshire Werbo, LLC}",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,5bb73b6f-fa71-4c8d-9552-cfc66002b8ee,2026-09-26
"Block Real Estate Services, LLC",69fdef1a3b208288e0a799c2,"3rd237 - Interstate Business Park Building 4 {2025 Wilshire Werbo, LLC}",6a3427544277045ad4f2e8d6,PM Email,custom-fields,57d066e4-40d3-4e25-86df-f1e4e719f384,2026-09-26
"Block Real Estate Services, LLC",69fdef2438cbea6b3a68ae39,"3rd250 - 4500 W 107, LLC - (TEVA Pharmacy - tev250 for CAM)",69bd73faa9080d01db40736f,Location,custom-fields,"4500 W 107, LLC - (TEVA Pharmacy - tev250 for CAM)",2026-09-26
"Block Real Estate Services, LLC",69fdef2438cbea6b3a68ae39,"3rd250 - 4500 W 107, LLC - (TEVA Pharmacy - tev250 for CAM)",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,daa1226d-03f9-41f4-a9db-855817169a84,2026-09-26
"Block Real Estate Services, LLC",69fdef2438cbea6b3a68ae39,"3rd250 - 4500 W 107, LLC - (TEVA Pharmacy - tev250 for CAM)",6a3427544277045ad4f2e8d6,PM Email,custom-fields,f1a37f0b-7fde-4e9f-a2c2-f35249e45b38,2026-09-26
"Block Real Estate Services, LLC",69fdef283b208288e0a79ba9,"3rd299 - Delaire KC, LLC - Westport Building - 301 Westport Road (Retail, 1st Floor)",69bd73faa9080d01db40736f,Location,custom-fields,"Delaire KC, LLC - Westport Building - 301 Westport Road (Retail, 1st Floor)",2026-09-26
"Block Real Estate Services, LLC",69fdef283b208288e0a79ba9,"3rd299 - Delaire KC, LLC - Westport Building - 301 Westport Road (Retail, 1st Floor)",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,351ff4e2-efd4-430b-af42-6ccfe112f4d3,2026-09-26
"Block Real Estate Services, LLC",69fdef283b208288e0a79ba9,"3rd299 - Delaire KC, LLC - Westport Building - 301 Westport Road (Retail, 1st Floor)",6a3427544277045ad4f2e8d6,PM Email,custom-fields,dfdb39e4-4d93-417e-8f0f-80baedcfc01a,2026-09-26
"Block Real Estate Services, LLC",69fdef2cbf1df2fe96920b3f,"3rd312 - Westport Land & Management I, LLC",69bd73faa9080d01db40736f,Location,custom-fields,"Westport Land & Management I, LLC",2026-09-26
"Block Real Estate Services, LLC",69fdef2cbf1df2fe96920b3f,"3rd312 - Westport Land & Management I, LLC",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,351ff4e2-efd4-430b-af42-6ccfe112f4d3,2026-09-26
"Block Real Estate Services, LLC",69fdef2cbf1df2fe96920b3f,"3rd312 - Westport Land & Management I, LLC",6a3427544277045ad4f2e8d6,PM Email,custom-fields,dfdb39e4-4d93-417e-8f0f-80baedcfc01a,2026-09-26
"Block Real Estate Services, LLC",69fdeefa02bb2c42a879c977,"167332 - 167 Logistics Centre Building #2 {167 Logistics Centre West, LLC}",69bd73faa9080d01db40736f,Location,custom-fields,"167 Logistics Centre Building #2 {167 Logistics Centre West, LLC}",2026-09-26
"Block Real Estate Services, LLC",69fdeefa02bb2c42a879c977,"167332 - 167 Logistics Centre Building #2 {167 Logistics Centre West, LLC}",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,2183c4d0-ef7e-42c6-88c2-9322a1e6469d,2026-09-26
"Block Real Estate Services, LLC",69fdeefa02bb2c42a879c977,"167332 - 167 Logistics Centre Building #2 {167 Logistics Centre West, LLC}",6a3427544277045ad4f2e8d6,PM Email,custom-fields,5225c23b-d9d4-49b2-904a-3cbffcc9981d,2026-09-26
"Block Real Estate Services, LLC",69fdef31e45e7dcf5c4328bd,3rd347 - 919 E. 29th Street {Taikan Development Corporation},69bd73faa9080d01db40736f,Location,custom-fields,919 E. 29th Street {Taikan Development Corporation},2026-09-26
"Block Real Estate Services, LLC",69fdef31e45e7dcf5c4328bd,3rd347 - 919 E. 29th Street {Taikan Development Corporation},6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,351ff4e2-efd4-430b-af42-6ccfe112f4d3,2026-09-26
"Block Real Estate Services, LLC",69fdef31e45e7dcf5c4328bd,3rd347 - 919 E. 29th Street {Taikan Development Corporation},6a3427544277045ad4f2e8d6,PM Email,custom-fields,dfdb39e4-4d93-417e-8f0f-80baedcfc01a,2026-09-26
"Block Real Estate Services, LLC",69fdeeff3b208288e0a794bd,"3bh890 - 3BS-HMO, LLC 2401 E. Rock Haven",69bd73faa9080d01db40736f,Location,custom-fields,"3BS-HMO, LLC 2401 E. Rock Haven",2026-09-26
"Block Real Estate Services, LLC",69fdeeff3b208288e0a794bd,"3bh890 - 3BS-HMO, LLC 2401 E. Rock Haven",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,1c8b914e-090f-4b1b-9400-15d195782e7c,2026-09-26
"Block Real Estate Services, LLC",69fdeeff3b208288e0a794bd,"3bh890 - 3BS-HMO, LLC 2401 E. Rock Haven",6a3427544277045ad4f2e8d6,PM Email,custom-fields,8a48e050-107a-440e-bae0-d4847ba0b33d,2026-09-26
"Block Real Estate Services, LLC",69fdef0303a2257cd27d83e8,3rd074 - Keystone Plaza Shopping Center {Larbre Family Trust},69bd73faa9080d01db40736f,Location,custom-fields,Keystone Plaza Shopping Center {Larbre Family Trust},2026-09-26
"Block Real Estate Services, LLC",69fdef0303a2257cd27d83e8,3rd074 - Keystone Plaza Shopping Center {Larbre Family Trust},6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,351ff4e2-efd4-430b-af42-6ccfe112f4d3,2026-09-26
"Block Real Estate Services, LLC",69fdef0303a2257cd27d83e8,3rd074 - Keystone Plaza Shopping Center {Larbre Family Trust},6a3427544277045ad4f2e8d6,PM Email,custom-fields,dfdb39e4-4d93-417e-8f0f-80baedcfc01a,2026-09-26
"Block Real Estate Services, LLC",69fdef0802bb2c42a879cab4,"3rd075 - State Line 75 {State Line 75, LLC}",69bd73faa9080d01db40736f,Location,custom-fields,"State Line 75 {State Line 75, LLC}",2026-09-26
"Block Real Estate Services, LLC",69fdef0802bb2c42a879cab4,"3rd075 - State Line 75 {State Line 75, LLC}",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,1c8b914e-090f-4b1b-9400-15d195782e7c,2026-09-26
"Block Real Estate Services, LLC",69fdef0802bb2c42a879cab4,"3rd075 - State Line 75 {State Line 75, LLC}",6a3427544277045ad4f2e8d6,PM Email,custom-fields,8a48e050-107a-440e-bae0-d4847ba0b33d,2026-09-26
"Block Real Estate Services, LLC",69fdef3a02bb2c42a879db44,3rd349 - 13440 Roe Avenue {Taikan Development Corporation},69bd73faa9080d01db40736f,Location,custom-fields,13440 Roe Avenue {Taikan Development Corporation},2026-09-26
"Block Real Estate Services, LLC",69fdef3a02bb2c42a879db44,3rd349 - 13440 Roe Avenue {Taikan Development Corporation},6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,351ff4e2-efd4-430b-af42-6ccfe112f4d3,2026-09-26
"Block Real Estate Services, LLC",69fdef3a02bb2c42a879db44,3rd349 - 13440 Roe Avenue {Taikan Development Corporation},6a3427544277045ad4f2e8d6,PM Email,custom-fields,dfdb39e4-4d93-417e-8f0f-80baedcfc01a,2026-09-26
"Block Real Estate Services, LLC",69fdef3603a2257cd27d8a19,3rd348 - 5051 West 134th Street {Taikan Development Corporation},69bd73faa9080d01db40736f,Location,custom-fields,5051 West 134th Street {Taikan Development Corporation},2026-09-26
"Block Real Estate Services, LLC",69fdef3603a2257cd27d8a19,3rd348 - 5051 West 134th Street {Taikan Development Corporation},6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,351ff4e2-efd4-430b-af42-6ccfe112f4d3,2026-09-26
"Block Real Estate Services, LLC",69fdef3603a2257cd27d8a19,3rd348 - 5051 West 134th Street {Taikan Development Corporation},6a3427544277045ad4f2e8d6,PM Email,custom-fields,dfdb39e4-4d93-417e-8f0f-80baedcfc01a,2026-09-26
"Block Real Estate Services, LLC",69fdef1003a2257cd27d8605,"3rd202 - D&H Properties - 80th Street {D&H Properties, LLC}",69bd73faa9080d01db40736f,Location,custom-fields,"D&H Properties - 80th Street {D&H Properties, LLC}",2026-09-26
"Block Real Estate Services, LLC",69fdef1003a2257cd27d8605,"3rd202 - D&H Properties - 80th Street {D&H Properties, LLC}",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,4f24f34a-5f91-45e5-a6a1-19c51628f934,2026-09-26
"Block Real Estate Services, LLC",69fdef1003a2257cd27d8605,"3rd202 - D&H Properties - 80th Street {D&H Properties, LLC}",6a3427544277045ad4f2e8d6,PM Email,custom-fields,23330c54-c69f-4cd1-b403-058dcee8e426,2026-09-26
"Block Real Estate Services, LLC",69fdef3f3b208288e0a7a0f6,"3rd387 - Arrowhead Shopping Center {JW Perry, LLC}",69bd73faa9080d01db40736f,Location,custom-fields,"Arrowhead Shopping Center {JW Perry, LLC}",2026-09-26
"Block Real Estate Services, LLC",69fdef3f3b208288e0a7a0f6,"3rd387 - Arrowhead Shopping Center {JW Perry, LLC}",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,1c8b914e-090f-4b1b-9400-15d195782e7c,2026-09-26
"Block Real Estate Services, LLC",69fdef3f3b208288e0a7a0f6,"3rd387 - Arrowhead Shopping Center {JW Perry, LLC}",6a3427544277045ad4f2e8d6,PM Email,custom-fields,8a48e050-107a-440e-bae0-d4847ba0b33d,2026-09-26
"Block Real Estate Services, LLC",69fdef1402bb2c42a879cc2a,"3rd203 - D&H Properties - Santa Fe Drive {D&H Properties, LLC}",69bd73faa9080d01db40736f,Location,custom-fields,"D&H Properties - Santa Fe Drive {D&H Properties, LLC}",2026-09-26
"Block Real Estate Services, LLC",69fdef1402bb2c42a879cc2a,"3rd203 - D&H Properties - Santa Fe Drive {D&H Properties, LLC}",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,4f24f34a-5f91-45e5-a6a1-19c51628f934,2026-09-26
"Block Real Estate Services, LLC",69fdef1402bb2c42a879cc2a,"3rd203 - D&H Properties - Santa Fe Drive {D&H Properties, LLC}",6a3427544277045ad4f2e8d6,PM Email,custom-fields,23330c54-c69f-4cd1-b403-058dcee8e426,2026-09-26
"Block Real Estate Services, LLC",69fdef4802bb2c42a879de8a,"3rd464 - Lenexa Logistics Centre South Building 4 {Lenexa Logistics 4 Investment, Inc.}",69bd73faa9080d01db40736f,Location,custom-fields,"Lenexa Logistics Centre South Building 4 {Lenexa Logistics 4 Investment, Inc.}",2026-09-26
"Block Real Estate Services, LLC",69fdef4802bb2c42a879de8a,"3rd464 - Lenexa Logistics Centre South Building 4 {Lenexa Logistics 4 Investment, Inc.}",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,02330089-06d2-4c27-931b-54cd933087c5,2026-09-26
"Block Real Estate Services, LLC",69fdef4802bb2c42a879de8a,"3rd464 - Lenexa Logistics Centre South Building 4 {Lenexa Logistics 4 Investment, Inc.}",6a3427544277045ad4f2e8d6,PM Email,custom-fields,3efad05a-173b-428a-b2ff-63415b2fd756,2026-09-26
"Block Real Estate Services, LLC",69fdef5c3b208288e0a7a5df,"3rd543 - Downey Family Holdings, LLC",69bd73faa9080d01db40736f,Location,custom-fields,"Downey Family Holdings, LLC",2026-09-26
"Block Real Estate Services, LLC",69fdef5c3b208288e0a7a5df,"3rd543 - Downey Family Holdings, LLC",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,351ff4e2-efd4-430b-af42-6ccfe112f4d3,2026-09-26
"Block Real Estate Services, LLC",69fdef5c3b208288e0a7a5df,"3rd543 - Downey Family Holdings, LLC",6a3427544277045ad4f2e8d6,PM Email,custom-fields,dfdb39e4-4d93-417e-8f0f-80baedcfc01a,2026-09-26
"Block Real Estate Services, LLC",69fdef653b208288e0a7a89f,"3rd654 - Devonshire Village Shops {Devonshire Shops, LLC}",69bd73faa9080d01db40736f,Location,custom-fields,"Devonshire Village Shops {Devonshire Shops, LLC}",2026-09-26
"Block Real Estate Services, LLC",69fdef653b208288e0a7a89f,"3rd654 - Devonshire Village Shops {Devonshire Shops, LLC}",6a171fe6bd6dc7d1e7f13728,Property Manager,custom-fields,351ff4e2-efd4-430b-af42-6ccfe112f4d3,2026-09-26
